"COUNTRY: {"CONTINENT", "POPULATION", "TOTAL CASES", "TOTAL DEATHS", "TOTAL TESTS"}
Bhutan: {'continent': 'Asia', 'population': 772187, 'cases': 95, 'deaths': 0, 'tests': 41477}
Fiji: {'continent': 'Oceania', 'population': 896776, 'cases': 27, 'deaths': 0, 'tests': 4000}
Greenland: {'continent': 'North-America', 'population': 56777, 'cases': 14, 'deaths': 0, 'tests': 5742}
Guinea: {'continent': 'Africa', 'population': 13153183, 'cases': 7008, 'deaths': 43, 'tests': 14407}
Haiti: {'continent': 'North-America', 'population': 11411926, 'cases': 7315, 'deaths': 157, 'tests': 17129}
Isle-of-Man: {'continent': 'Europe', 'population': 85065, 'cases': 336, 'deaths': 24, 'tests': 7843}
Mauritania: {'continent': 'Africa', 'population': 4656707, 'cases': 6171, 'deaths': 156, 'tests': 57253}
Nicaragua: {'continent': 'North-America', 'population': 6628603, 'cases': 3439, 'deaths': 108, 'tests': 0}
Saint-Lucia: {'continent': 'North-America', 'population': 183682, 'cases': 24, 'deaths': 0, 'tests': 2934}
Zambia: {'continent': 'Africa', 'population': 18414595, 'cases': 4552, 'deaths': 140, 'tests': 76072}
Nepal: {'continent': 'Asia', 'population': 29170716, 'cases': 18752, 'deaths': 48, 'tests': 659677}
Antigua-and-Barbuda: {'continent': 'North-America', 'population': 97979, 'cases': 82, 'deaths': 3, 'tests': 1189}
Chad: {'continent': 'Africa', 'population': 16453742, 'cases': 922, 'deaths': 75, 'tests': 0}
Djibouti: {'continent': 'Africa', 'population': 988955, 'cases': 5050, 'deaths': 58, 'tests': 55983}
Eritrea: {'continent': 'Africa', 'population': 3549431, 'cases': 263, 'deaths': 0, 'tests': 0}
Gambia: {'continent': 'Africa', 'population': 2420333, 'cases': 277, 'deaths': 6, 'tests': 4515}
Vatican-City: {'continent': 'Europe', 'population': 801, 'cases': 12, 'deaths': 0, 'tests': 0}
Montserrat: {'continent': 'North-America', 'population': 4992, 'cases': 12, 'deaths': 1, 'tests': 61}
Niger: {'continent': 'Africa', 'population': 24254937, 'cases': 1136, 'deaths': 69, 'tests': 9052}
Papua-New-Guinea: {'continent': 'Oceania', 'population': 8957444, 'cases': 62, 'deaths': 0, 'tests': 10000}
St-Vincent-Grenadines: {'continent': 'North-America', 'population': 110964, 'cases': 52, 'deaths': 0, 'tests': 1834}
Sint-Maarten: {'continent': 'North-America', 'population': 42909, 'cases': 114, 'deaths': 15, 'tests': 634}
Somalia: {'continent': 'Africa', 'population': 15917202, 'cases': 3178, 'deaths': 93, 'tests': 0}
Eswatini: {'continent': 'Africa', 'population': 1160954, 'cases': 2207, 'deaths': 32, 'tests': 20784}
Timor-Leste: {'continent': 'Asia', 'population': 1316345, 'cases': 24, 'deaths': 0, 'tests': 1568}
Uganda: {'continent': 'Africa', 'population': 45820261, 'cases': 1115, 'deaths': 2, 'tests': 260465}
All: {'continent': 'All', 'population': 0, 'cases': 16533132, 'deaths': 654025, 'tests': 0}
Mozambique: {'continent': 'Africa', 'population': 31305140, 'cases': 1669, 'deaths': 11, 'tests': 52422}
Syria: {'continent': 'Asia', 'population': 17526786, 'cases': 674, 'deaths': 40, 'tests': 0}
Grenada: {'continent': 'North-America', 'population': 112520, 'cases': 23, 'deaths': 0, 'tests': 5465}
Dominica: {'continent': 'North-America', 'population': 71997, 'cases': 18, 'deaths': 0, 'tests': 1005}
Turks-and-Caicos: {'continent': 'North-America', 'population': 38751, 'cases': 97, 'deaths': 2, 'tests': 1103}
Belize: {'continent': 'North-America', 'population': 398055, 'cases': 48, 'deaths': 2, 'tests': 3166}
Myanmar: {'continent': 'Asia', 'population': 54435444, 'cases': 350, 'deaths': 6, 'tests': 110526}
Laos: {'continent': 'Asia', 'population': 7282576, 'cases': 20, 'deaths': 0, 'tests': 25875}
Libya: {'continent': 'Africa', 'population': 6877544, 'cases': 2827, 'deaths': 64, 'tests': 47038}
Mali: {'continent': 'Africa', 'population': 20285299, 'cases': 2513, 'deaths': 124, 'tests': 21698}
Guinea-Bissau: {'continent': 'Africa', 'population': 1970876, 'cases': 1954, 'deaths': 26, 'tests': 1500}
British-Virgin-Islands: {'continent': 'North-America', 'population': 30232, 'cases': 8, 'deaths': 1, 'tests': 439}
Saint-Kitts-and-Nevis: {'continent': 'North-America', 'population': 53222, 'cases': 17, 'deaths': 0, 'tests': 948}
Anguilla: {'continent': 'North-America', 'population': 15007, 'cases': 3, 'deaths': 0, 'tests': 380}
MS-Zaandam-: {'continent': 'None', 'population': 0, 'cases': 9, 'deaths': 2, 'tests': 0}
MS-Zaandam: {'continent': 'None', 'population': 0, 'cases': 9, 'deaths': 2, 'tests': 0}
Botswana: {'continent': 'Africa', 'population': 2354646, 'cases': 739, 'deaths': 2, 'tests': 66744}
Sierra-Leone: {'continent': 'Africa', 'population': 7987284, 'cases': 1783, 'deaths': 66, 'tests': 0}
Burundi: {'continent': 'Africa', 'population': 11910554, 'cases': 361, 'deaths': 1, 'tests': 13105}
Caribbean-Netherlands: {'continent': 'North-America', 'population': 26238, 'cases': 11, 'deaths': 0, 'tests': 424}
Malawi: {'continent': 'Africa', 'population': 19159933, 'cases': 3664, 'deaths': 99, 'tests': 27596}
Falkland-Islands: {'continent': 'South-America', 'population': 3486, 'cases': 13, 'deaths': 0, 'tests': 1816}
Western-Sahara: {'continent': 'Africa', 'population': 596831, 'cases': 10, 'deaths': 1, 'tests': 0}
South-Sudan: {'continent': 'Africa', 'population': 11202629, 'cases': 2305, 'deaths': 46, 'tests': 12044}
Saint-Pierre-Miquelon: {'continent': 'North-America', 'population': 5792, 'cases': 4, 'deaths': 0, 'tests': 0}
Sao-Tome-and-Principe: {'continent': 'Africa', 'population': 219421, 'cases': 863, 'deaths': 14, 'tests': 2789}
North-America: {'continent': 'North-America', 'population': 0, 'cases': 5156393, 'deaths': 208779, 'tests': 0}
Europe: {'continent': 'Europe', 'population': 0, 'cases': 2789896, 'deaths': 201631, 'tests': 0}
Asia: {'continent': 'Asia', 'population': 0, 'cases': 3968299, 'deaths': 91148, 'tests': 0}
South-America: {'continent': 'South-America', 'population': 0, 'cases': 3748396, 'deaths': 134427, 'tests': 0}
Oceania: {'continent': 'Oceania', 'population': 0, 'cases': 16664, 'deaths': 183, 'tests': 0}
Africa: {'continent': 'Africa', 'population': 0, 'cases': 852763, 'deaths': 17842, 'tests': 0}
Diamond-Princess: {'continent': 'None', 'population': 0, 'cases': 712, 'deaths': 13, 'tests': 0}
Yemen: {'continent': 'Asia', 'population': 29865309, 'cases': 1681, 'deaths': 479, 'tests': 120}
Tajikistan: {'continent': 'Asia', 'population': 9551014, 'cases': 7235, 'deaths': 60, 'tests': 0}
Comoros: {'continent': 'Africa', 'population': 870717, 'cases': 354, 'deaths': 7, 'tests': 0}
Lesotho: {'continent': 'Africa', 'population': 2143387, 'cases': 505, 'deaths': 12, 'tests': 7463}
